City1,City2,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num,dep latitude,dep longitude,arr latitude,arr longitude,haul
ADELAIDE,ALICE SPRINGS,9390,129,62,1316,12357240,19920292,15137,2020,October,-34.928661,138.598633,-23.697479,133.883621,1k-2k
ADELAIDE,ALICE SPRINGS,0,0,0,1316,0,0,0,2020,November,-34.928661,138.598633,-23.697479,133.883621,1k-2k
ADELAIDE,ALICE SPRINGS,0,0,0,1316,0,0,0,2020,December,-34.928661,138.598633,-23.697479,133.883621,1k-2k
ADELAIDE,BRISBANE,71227,585,75.3,1622,115530194,153470396,94618,2019,January,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,57987,489,72.5,1622,94054914,129712962,79971,2019,February,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,69034,539,78.1,1622,111973148,143311810,88355,2019,March,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,74831,534,80.4,1622,121375882,150946564,93062,2019,April,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,69620,540,73.8,1622,112923640,153029212,94346,2019,May,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,64411,513,72,1622,104474642,145113852,89466,2019,June,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,78957,545,82.6,1622,128068254,155134568,95644,2019,July,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,73765,537,79.2,1622,119646830,151021176,93108,2019,August,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,75747,539,80.1,1622,122861634,153353612,94546,2019,September,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,86017,575,86.2,1622,139519574,161908040,99820,2019,October,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,75534,537,81.5,1622,122516148,150271812,92646,2019,November,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,78176,559,80.6,1622,126801472,157369684,97022,2019,December,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,75173,545,78.8,1622,121930606,154699872,95376,2020,January,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,60687,496,70.3,1622,98434314,140025638,86329,2020,February,-34.928661,138.598633,-27.47101,153.024292,1k-2k
ADELAIDE,BRISBANE,45456,422,62.3,1622,73729632,118256776,72908,2020,March,-34.928661,138.598633,-27.47101,153.024292,1k-2k
