City1,City2,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),Year,Month_num,dep latitude,dep longitude,arr latitude,arr longitude,Category 
ADELAIDE,BRISBANE,74831,534,80.4,1622,2019,April,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,69620,540,73.8,1622,2019,May,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,64411,513,72,1622,2019,June,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,78957,545,82.6,1622,2019,July,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,73765,537,79.2,1622,2019,August,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,75747,539,80.1,1622,2019,September,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,86017,575,86.2,1622,2019,October,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,75534,537,81.5,1622,2019,November,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,78176,559,80.6,1622,2019,December,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,75173,545,78.8,1622,2020,January,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,60687,496,70.3,1622,2020,February,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,45456,422,62.3,1622,2020,March,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,0,0,0,1622,2020,April,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,0,0,0,1622,2020,May,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,0,0,0,1622,2020,June,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,18226,140,86.6,1622,2020,July,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,27220,270,60.6,1622,2020,August,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,29020,244,71.6,1622,2020,September,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,44849,345,77,1622,2020,October,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,27540,247,68.9,1622,2020,November,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,BRISBANE,32187,299,67.5,1622,2020,December,-34.928661,138.598633,-27.47101,153.024292,between_1k_2k
ADELAIDE,CANBERRA,11865,122,58.6,972,2019,January,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,14263,136,62.8,972,2019,February,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,17846,150,72.1,972,2019,March,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,16894,150,66.8,972,2019,April,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,16512,162,60.8,972,2019,May,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,14929,141,64.4,972,2019,June,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,16083,154,62.4,972,2019,July,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,16875,159,64,972,2019,August,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,17117,153,66.9,972,2019,September,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,18788,160,70.1,972,2019,October,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,17851,143,75.5,972,2019,November,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,16420,136,72.7,972,2019,December,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,12283,120,61.8,972,2020,January,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,14618,138,63.8,972,2020,February,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,10147,123,49.9,972,2020,March,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,0,0,0,972,2020,April,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,0,0,0,972,2020,May,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,0,0,0,972,2020,June,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,0,0,0,972,2020,July,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,0,0,0,972,2020,August,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,0,0,0,972,2020,September,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,9597,96,64.1,972,2020,October,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,0,0,0,972,2020,November,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,CANBERRA,9412,98,61.3,972,2020,December,-34.928661,138.598633,-35.27603,149.13435,less_than_1k
ADELAIDE,MELBOURNE,199040,1546,77.7,643,2019,January,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,200463,1513,80.6,643,2019,February,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,227419,1678,82.1,643,2019,March,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,215027,1588,81.7,643,2019,April,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,199098,1601,76.3,643,2019,May,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,189519,1512,76.1,643,2019,June,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,222844,1645,82.8,643,2019,July,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,212024,1571,82.2,643,2019,August,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,210920,1588,81,643,2019,September,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,232046,1659,85.8,643,2019,October,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,222402,1574,85.8,643,2019,November,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,207259,1544,81.7,643,2019,December,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,199543,1483,81.5,643,2020,January,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,193053,1497,78.3,643,2020,February,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,129445,1291,63.1,643,2020,March,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,4487,225,23,643,2020,April,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,6165,192,38.3,643,2020,May,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,7413,192,45.1,643,2020,June,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,4137,215,22.1,643,2020,July,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,1191,148,9.1,643,2020,August,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,1369,175,11.1,643,2020,September,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,0,0,0,643,2020,October,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,0,0,0,643,2020,November,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,MELBOURNE,62656,605,70.5,643,2020,December,-34.928661,138.598633,-37.813938,144.963425,less_than_1k
ADELAIDE,GOLD COAST,21307,155,77,1607,2019,January,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,14522,104,78.3,1607,2019,February,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,17103,121,79.5,1607,2019,March,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,18057,123,81.9,1607,2019,April,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,16327,115,79.3,1607,2019,May,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,14931,102,81.6,1607,2019,June,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,19567,126,86.9,1607,2019,July,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,18137,114,89.4,1607,2019,August,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,18370,118,86.6,1607,2019,September,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,20770,127,91.6,1607,2019,October,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,16580,108,85.4,1607,2019,November,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,19485,127,85.8,1607,2019,December,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,19708,128,86.3,1607,2020,January,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,16186,109,83.4,1607,2020,February,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
ADELAIDE,GOLD COAST,11638,91,71.2,1607,2020,March,-34.928661,138.598633,-28.00029,153.430878,between_1k_2k
